Convergence of Project Management and Knowledge Management,"T. Kanti Srikantaiah, Michael E. D. KoenigSuliman Hawamdeh
",Business and Management,"Business and Management, Case studies",Convergence of Project Management and Knowledge Management.jpg,Convergence of Project Management and Knowledge Management.pdf,Convergence of Project Management and Knowledge Management.html,321
Effective Pricing with SAP ERP,D. Rajen Iyer and Suresh Veeraraghavan,Business and Management,"Business and Management,  Business & Economics, Marketing, General",Effective Pricing with SAP ERP.jpg,Effective Pricing with SAP ERP.pdf,Effective Pricing with SAP ERP.html,322
"Excellence in Coaching The Industry Guide, 2nd edition",Jonathan Passmore,Business and Management,"Business and Management, accreditation, evaluating coaching","Excellence in Coaching The Industry Guide, 2nd edition.jpg","Excellence in Coaching The Industry Guide, 2nd edition.pdf","Excellence in Coaching The Industry Guide, 2nd edition.html",323
Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy,Innocenzo Muzzalupo,Business and Management,"Business and Management,",Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.jpg,Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.pdf,Olive Germplasm The Olive Cultivation Table Olive and Olive Oil Industry in Italy.html,324
Optimizing Sales and Distribution in SAP ERP Functionality and Configuration,Ashish Mohapatra,Business and Management,"Business and Management, Real-World Scenarios and Tips",Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.jpg,Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.pdf,Optimizing Sales and Distribution in SAP ERP Functionality and Configuration.html,325
Practical Concepts of Quality Control,Mohammad Saber Fallah Nezhad,Business and Management,"Business and Management,",Practical Concepts of Quality Control.jpg,Practical Concepts of Quality Control.pdf,Practical Concepts of Quality Control.html,326
The Great Learning,Confucius,Computing,"Computing, Computers, Programming Languages, General",The Great Learning.jpg,The Great Learning.pdf,The Great Learning.html,327
Money Secrets ,Dave Barry,Education,"Education, Finance, Personal",Moneysecrets.jpg,Money Secrets - Dave Barry.pdf,Money Secrets - Dave Barry.html,328
How to Think Like the Worlds Greatest High-tech Titans,Erika Brown,Engineering & Maths, Engineering & Maths Technology & Engineering / Technical & Manufacturing Industries & Trades,HowToThinLikeTheWorldsGreatest.jpg,How to Think Like the Worlds Greatest High-tech Titans.pdf,How to Think Like the Worlds Greatest High-tech Titans.html,329
A Stranger In The Mirror,Sidney Sheldon,Fiction,"Fiction, General",AStrangerInTheMirror.jpg,A Stranger In The Mirror.pdf,A Stranger In The Mirror.html,330
A Time To Kill,JohnGrisham,Fiction,"Fiction, Thrillers",ATimeToKill.jpg,A Time To Kill.pdf,A Time To Kill.html,331
Angels and Demons,Dan Brown,Fiction,"Fiction, Thrillers , Suspense",AngelsandDemons.jpg,Angels and Demons.pdf,Angels and Demons.html,332
Art Of War,Sun Tzu,Fiction,"Fiction, History, Military, Strategy",ArtofWar.jpg,Art Of War.pdf,Art Of War.html,333
Deception Point,Dan Brown,Fiction,"Fiction, Thrillers, Suspense",DeceptionPoint.jpg,Deception Point.pdf,Deception Point.html,334
Digital Fortress,Dan Brown,Fiction,"Fiction, Suspense",DigitalFortress.jpg,Digital Fortress.pdf,Digital Fortress.html,335
From a Buick 8 (2002),Stephen King,Fiction,"Fiction, Abandonment of automobiles",FromABuick8.jpg,From a Buick 8 (2002).pdf,From a Buick 8 (2002).html,336
Harry Potter,J.K. Rowling,Fiction,"Fiction, Literary Criticism, Children's Literature",HarryPotterandTheStoryofEliza.jpg,Harry Potter.pdf,Harry Potter.html,337
Harry Potter and The Story of Eliza,J.K. Rowling,Fiction,"Fiction, ",HarryPotterandTheStoryofEliza.jpg,Harry Potter and The Story of Eliza.pdf,Harry Potter and The Story of Eliza.html,338
Harry Potter-The Deathly Hallows,J.K. Rowling,Fiction,"Fiction, Juvenile Fiction,  Fantasy & Magic",HarryPotterandTheDeathlyHallows.jpg,Harry Potter-The Deathly Hallows.pdf,Harry Potter-The Deathly Hallows.html,339
Nightmares and Dreamscapes,Stephen King ,Fiction,"Fiction, Short Stories",Nightmares&Dreamscapes.jpg,Nightmares and Dreamscapes.pdf,Nightmares and Dreamscapes.html,340
"Not a Penny More, Not a Penny Less",Jeffry Archer,Fiction,"Fiction, General",NotaPennyMoreNotaPennyLess.jpg,"Not a Penny More, Not a Penny Less.pdf","Not a Penny More, Not a Penny Less.html",341
Pilgrims Progress 1 & 2,John Bunyan,Fiction,"Fiction, ",PilgrimsProgress.jpg,Pilgrims Progress 1 & 2.pdf,Pilgrims Progress 1 & 2.html,342
Skeleton Crew (1985),Stephen King,Fiction,"Fiction, Short Stories",SkeletonCrew.jpg,Skeleton Crew (1985).pdf,Skeleton Crew (1985).html,343
Star Wars - Comics - Tales of the Jedi - Golden Age of the Sith ,Kevin J. Anderson,Fiction,"Fiction, Science fiction comic books, strips, etc",TalesOfJedi.jpg,Star Wars - Comics - Tales of the Jedi - Golden Age of the Sith.pdf ,Star Wars - Comics - Tales of the Jedi - Golden Age of the Sith.html ,344
The 48 laws of Power,Robert Greene,Fiction,"Social Science, Sociology,General",The 48 Laws of Power.jpg,The 48 laws of power.pdf,The 48 laws of power.html,345
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Fiction,"Fiction, ",TheAdventuresofSherlockHolmes.jpg,The Adventures of Sherlock Holmes.pdf,The Adventures of Sherlock Holmes.html,346
The Bourne Ultimatum,Robert Ludlum,Fiction,"Fiction, Thrillers, Suspense",TheBourneUltimatum.jpg,The Bourne Ultimatum.pdf,The Bourne Ultimatum.html,347
The Broker,John Grisham,Fiction,"Fiction, Mystery & Detective, General",TheBroker.jpg,The Broker.pdf,The Broker.html,348
The Da Vinci Code,Dan Brown,Fiction,"Fiction, Mystery & Detective, General",TheDaVinciCode.jpg,The Da Vinci Code.pdf,The Da Vinci Code.html,349
The Dark Tower Books 1-5,Stephen King ,Fiction,"Fiction, Comics & Graphic Novels, Horror",TheDarkTower.jpg,The Dark Tower Books 1-5.pdf,The Dark Tower Books 1-5.html,350
The Firm,John Grisham,Fiction,"Fiction, Thrillers",TheFirm.jpg,The Firm.pdf,The Firm.html,351
The King of Torts,John Grisham,Fiction,"Fiction, Suspense",TheKingofTorts.jpg,The King of Torts.pdf,The King of Torts.html,352
The Last Juror,John Grisham ,Fiction,"Fiction, Thrillers",TheLastJuror.jpg,The Last Juror.pdf,The Last Juror.html,353
The Prince,Niccolo Machiavelli,Fiction,"Fiction, Political Science, History & Theory",ThePrince.jpg,The Prince.pdf,The Prince.html,354
The Stand,Stephen King ,Fiction,"Fiction, General",TheStand.jpg,The Stand.pdf,The Stand.html,355
The Street Lawyer,John Grisham ,Fiction,"Fiction, Thrillers",TheStreetLawyer.jpg,The Street Lawyer.pdf,The Street Lawyer.html,356
The Summons,John Grisham,Fiction,"Fiction, Mystery & Detective, General",TheSummons.jpg,The Summons.pdf,The Summons.html,357
Utopia,Thomas More,Fiction,"Fiction, Classics",Utopia.jpg,Utopia.pdf,Utopia.html,358
Agrippa - Of Occult Philosophy Book3,Henry Cornelius Agrippa,Philosophy,"Philosophy, Body, Mind & Spirit, Reference",Agrippa - Of Occult Philosophy Book3.jpg,Agrippa - Of Occult Philosophy Book3.pdf,Agrippa - Of Occult Philosophy Book3.html,359
Agrippa - Of Occult Philosophy Book4,Henry Cornelius Agrippa,Philosophy,"Philosophy, Body, Mind & Spirit, Occultism",OF OCCULT PHILOSOPHY.jpg,Agrippa - Of Occult Philosophy Book4.pdf,Agrippa - Of Occult Philosophy Book4.html,360
Bhagavad Gita,Sri Swami Sivananda,Philosophy,"Philosophy, Religion, Hinduism, Sacred Writings",Bhagavad Gita.jpg,Bhagavad Gita.pdf,Bhagavad Gita.html,361
Buddhism Mahayana Texts,"E. B. Cowell, F. Max Müller and J. Takakusu",Philosophy,"Philosophy, Religion, Buddhism, Sacred Writings",Buddhist Mahayana Texts.jpg,Buddhist Mahayana Texts.pdf,Buddhist Mahayana Texts.html,362
Metaphysics,Aristotle,Philosophy,"Philosophy, Philosophy, Metaphysics",Metaphysics.jpg,Metaphysics.pdf,Metaphysics.html,363
Nicomachean Ethics,Aristotle,Philosophy,"Philosophy, Ethics & Moral Philosophy",Nicomachean Ethics.jpg,Nicomachean Ethics.pdf,Nicomachean Ethics.html,364
Occult Philosophy Book 1,Henry Cornelius Agrippa,Philosophy,"Philosophy, History & Surveys, Modern","Three Books of Occult Philosophy, or of.jpg",Occult Philosophy Book 1.pdf,Occult Philosophy Book 1.html,365
On Sleep and Sleeplessness,Aristotle,Philosophy,"Philosophy,",On Sleep and Sleeplessness.jpg,On Sleep and Sleeplessness.pdf,On Sleep and Sleeplessness.html,366
On Youth and Old Age On Life and Death On Breathing,Aristotle,Philosophy,"Philosophy,",On Youth and Old Age On Life and Death On Breathing.jpg,On Youth and Old Age On Life and Death On Breathing.pdf,On Youth and Old Age On Life and Death On Breathing.html,367
Philosophy of Dreams,Sri Swami Sivanada,Philosophy,"Philosophy, Health & Fitness, Yoga",Philosophy Of Dreams.jpg,Philosophy of Dreams.pdf,Philosophy of Dreams.html,368
The Categories,Aristotle,Philosophy,"Philosophy,",The Categories.jpg,The Categories.pdf,The Categories.html,369
The World As I See It,Albert Einstein,Philosophy,"Philosophy, Philosophy, Political",The World As I See It.jpg,The World As I See It.pdf,The World As I See It.html,370
Three Books Of Occult Philosophy,Henry Cornelius Agrippa,Philosophy,"Philosophy, Body, Mind & Spirit, Reference",Three Books Of Occult Philosophy.jpg,Three Books Of Occult Philosophy.pdf,Three Books Of Occult Philosophy.html,371
,,,,,,,
