Wireless Networking in the Developing World,Rob Flickenger,Computing,"Technology & Engineering, Mobile & Wireless Communications",Wireless Networking in the Developing World.jpg,Wireless Networking in the Developing World.pdf,Wireless Networking in the Developing World.html,436
Computer Skills for Theology and Ministry,Holger Szesnat,Computing,"Computing, Skills, Tips, Programmes",Computer Skills for Theology and Ministry.jpg,Computer Skills for Theology and Ministry.pdf,Computer Skills for Theology and Ministry.html,437
55 Ways to Have Fun With Google,Philipp Lenssen,Computing,"Computers, Web, Search Engines",55 Ways to Have Fun With Google.jpg,55 Ways to Have Fun With Google.pdf,55 Ways to Have Fun With Google.html,438
A Field Guide to Genetic Programming,"Riccardo Poli, Bill Langdon, Nic McPhee",Computing,"Computers, Programming, General  ",A Field Guide to Genetic Programming.jpg,A Field Guide to Genetic Programming.pdf,A Field Guide to Genetic Programming.html,439
Practical AVR Microcontrollers,Alan Trevennor,Computing,"Computers, Hardware, General",Practical AVR Microcontrollers.jpg,Practical AVR Microcontrollers.pdf,Practical AVR Microcontrollers.html,440
Reconstructing Medical Practice,Christine Jorm,Medicine,"Medical, Health Risk Assessment",Reconstructing Medical Practice.jpg,Reconstructing Medical Practice.pdf,Reconstructing Medical Practice.html,441
Scar-Less Surgery,"Jeffrey A. Cadeddu, Mihir M. Desai",Medicine,"Medical, Surgery, General",Scar-Less Surgery.jpg,Scar-Less Surgery.pdf,Scar-Less Surgery.html,442
Plunkett's Biotech & Genetics Industry Almanac 2013,Jack W. Plunkett,Business & Mgt,"Business & Economics,  Economics, General",Plunkett's Biotech & Genetics Industry Almanac 2013.jpg,Plunkett's Biotech & Genetics Industry Almanac 2013.pdf,Plunkett's Biotech & Genetics Industry Almanac 2013.html,443
Atlas of Gastrointestinal Endomicroscopy,"Khek-yu Ho, Xiu-li Zuo",Medicine,"Medical, Endocrinology & Metabolism",Atlas of Gastrointestinal Endomicroscopy.jpg,Atlas of Gastrointestinal Endomicroscopy.pdf,Atlas of Gastrointestinal Endomicroscopy.html,444
"Thiol Redox Transitions in Cell Signaling, Part A, Volume 473","Enrique Cadenas, Lester Packer",Sciences,"Science, Life Sciences, Molecular Biology","Thiol Redox Transitions in Cell Signaling, Part A, Volume 473.jpg","Thiol Redox Transitions in Cell Signaling, Part A, Volume 473.pdf","Thiol Redox Transitions in Cell Signaling, Part A, Volume 473.html",445
The Human Body,"A. Faller, Michael Sch?unke, Gabriele Schünke",Medicine,"Medical, Anatomy",The Human Body.jpg,The Human Body.pdf,The Human Body.html,446
Optimal Learning,"Warren B. Powell, Ilya O. Ryzhov",Engineering & Maths,"Mathematics, Probability & Statistics, General",Optimal Learning.jpg,Optimal Learning.pdf,Optimal Learning.html,447
Computer Simulation of Thermal Plant Operations,Peter O'Kelly,Engineering & Maths,"Technology, Engineering, Electrical",Computer Simulation of Thermal Plant Operations.jpg,Computer Simulation of Thermal Plant Operations.pdf,Computer Simulation of Thermal Plant Operations.htm,448
Continuous-Time Markov Chains and Applications,"G. George. Yin, Qing. Zhang",Engineering & Maths,"Mathematics, Probability & Statistics, Stochastic Processes",Continuous-Time Markov Chains and Applications.jpg,Continuous-Time Markov Chains and Applications.pdf,Continuous-Time Markov Chains and Applications.html,449
Constructivism in Practical Philosophy,"James Lenman, Yonatan Shemmer",Philosophy,"Philosophy, History & Surveys, Modern",Constructivism in Practical Philosophy.jpg,Constructivism in Practical Philosophy.pdf,Constructivism in Practical Philosophy.html,450
"The Insects Structure and Function, 5 edition","R. F. Chapman, Stephen J. Simpson, Angela E. Douglas",Sciences,"Science, Life Sciences, Zoology, General","The Insects Structure and Function, 5 edition.jpg","The Insects Structure and Function, 5 edition.pdf","The Insects Structure and Function, 5 edition.html",451
Forty Stories,Harper Perennial,Fiction,"Fiction, Anthologies",Forty Stories.jpg,Forty Stories.pdf,Forty Stories.html,452
The Strangest of Theatres,"Jared Hawkley, Susan Rich, Brian Turner",Poetry,"Poetry, American, General",The Strangest of Theatres.jpg,The Strangest of Theatres.pdf,The Strangest of Theatres.html,453
Colonialism and Neocolonialism,Jean Paul Sartre,Philosophy,"Philosophy, History & Surveys, General",Colonialism and Neocolonialism.jpg,Colonialism and Neocolonialism.pdf,Colonialism and Neocolonialism.html,454
The subjection of women,John Stuart Mill,Philosophy,"Philosophy, History & Surveys, Modern",The subjection of women.jpg,The subjection of women.pdf,The subjection of women.html,455
Lean Analytics Use Data to Build a Better Startup Faster,"Alistair Croll, Benjamin Yoskovitz",Business & Mgt,"Business & Economics, Development, Business Development",Lean Analytics Use Data to Build a Better Startup Faster.jpg,Lean Analytics Use Data to Build a Better Startup Faster.pdf,Lean Analytics Use Data to Build a Better Startup Faster.html,456
Energy Management in Business,Kit Oung,Business & Mgt,"Business & Economics, Environmental Economics ",Energy Management in Business.jpg,Energy Management in Business.pdf,Energy Management in Business.html,457
Postsingular,Rudy Rucker,Fiction,"Fiction, Science Fiction, Action & Adventure",Postsingular.jpg,Postsingular.pdf,Postsingular.html,458
Admiral's Ghost,N. B. Vanyoos,Fiction,"Fiction, Science Fiction",Admiral's Ghost.jpg,Admiral's Ghost.pdf,Admiral's Ghost.html,459
10 Love Poems,Jason Sturner,Poetry,"Poetry,  ",10 Love Poems.jpg,10 Love Poems.pdf,10 Love Poems.html,460
The Bad Seed,Dee Sunshine,Fiction,"Fiction, General",The Bad Seed.jpg,The Bad Seed.pdf,The Bad Seed.html,461
Gifts with No Giver,Nirmala,Poetry,"Poetry, Religion Spirituality",Gifts with No Giver.jpg,Gifts with No Giver.pdf,Gifts with No Giver.html,462
Dropping Ecstasy with the Angels,Dee Sunshine,Poetry,"Poetry, ",Dropping Ecstasy with the Angels.jpg,Dropping Ecstasy with the Angels.pdf,Dropping Ecstasy with the Angels.html,463
Post Digital Revelation,J. D. Casten,Poetry,"Poetry, ",Post Digital Revelation.jpg,Post Digital Revelation.pdf,Post Digital Revelation.html,464
Whinny,Barbara Marquardt,Poetry,"Poetry, General",Whinny.jpg,Whinny.pdf,Whinny.html,465
The Martini Henry Rifle,Stephen Manning,History,"History, Military, Weapons.",The Martini Henry Rifle.jpg,The Martini Henry Rifle.pdf,The Martini Henry Rifle.html,466
Christian Origins and Greco Roman Culture,"Stanley E. Porter, Andrew Pitts",History,"Religion, Christianity, History",Christian Origins and Greco Roman Culture.jpg,Christian Origins and Greco Roman Culture.pdf,Christian Origins and Greco Roman Culture.html,467
The Making of Romantic Love,William M. Reddy,History,"History, General",The Making of Romantic Love.jpg,The Making of Romantic Love.pdf,The Making of Romantic Love.html,468
Learn to Program,Chris Pine,Computing,"Computers, Programming, Object Oriented",Learn to Program.jpg,Learn to Program.pdf,Learn to Program.html,469
Thirty Essays on Geometric Graph Theory,János Pach,Engineering & Maths,"MATHEMATICS, Graphic Methods",Thirty Essays on Geometric Graph Theory.jpg,Thirty Essays on Geometric Graph Theory.pdf,Thirty Essays on Geometric Graph Theory.html,470
Twisted Network Programming Essentials,"Jessica McKellar, Abe Fettig",Computing,"Computers, Networking, Network Protocols",Twisted Network Programming Essentials.jpg,Twisted Network Programming Essentials.pdf,Twisted Network Programming Essentials.html,471
Selected Works of Peter J. Bickel,"Jianqing Fan, Ya'acov Ritov, C.F. Jeff Wu",Engineering & Maths,"Mathematics, Probability & Statistics, Stochastic Processes",Selected Works of Peter J. Bickel.jpg,Selected Works of Peter J. Bickel.pdf,Selected Works of Peter J. Bickel.html,472
Mathematics in Computing,Gerard O'Regan,Engineering & Maths,"Mathematics, Discrete & Mathematics",Mathematics in Computing.jpg,Mathematics in Computing.pdf,Mathematics in Computing.html,473
The Perks of Being a Wallflower,Stephen Chbosky,Fiction,"Fiction, Literary",The Perks of Being a Wallflower.jpg,The Perks of Being a Wallflower.pdf,The Perks of Being a Wallflower.html,474
Being Geek The Software Developer's Career Handbook,Michael Lopp,Computing,"Computers, Social Aspects, General",Being Geek The Software Developer's Career Handbook.jpg,Being Geek The Software Developer's Career Handbook.df,Being Geek The Software Developer's Career Handbook.html,475
97 Things Every Programmer Should Know,Kevlin Henney,Computing,"Computers, Programming, General  ",97 Things Every Programmer Should Know.jpg,97 Things Every Programmer Should Know.pdf,97 Things Every Programmer Should Know.html,476
97 Things Every Project Manager Should Know,Barbee Davis,Computing,"Computers, Software Development & Engineering, Project Management",97 Things Every Project Manager Should Know.jpg,97 Things Every Project Manager Should Know.pdf,97 Things Every Project Manager Should Know.html,477
iPhone Game Development,"Paul Zirkle, Joe Hogue",Computing,"Computers, Programming, Games",iPhone Game Development.jpg,iPhone Game Development.pdf,iPhone Game Development.html,478
Head First C#,"Andrew Stellman, Jennifer Greene",Computing,"Computers, Programming Languages, C#",Head First C#.jpg,Head First C#.pdf,Head First C#.html,479
Using Moodle,"Jason Cole, Helen Foster",Computing,"Computers, Educational Software",Using Moodle.jpg,Using Moodle.pdf,Using Moodle.html,480
Rest in Practice,"Jim Webber, Savas Parastatidis, Ian Robinson",Computing,"Computers, Systems Architecture, General",Rest in Practice.jpg,Rest in Practice.pdf,Rest in Practice.html,481
Head First PMP,"Jennifer Greene, Andrew Stellman",Computing,"Computers, Software Development & Engineering, General",Head First PMP.jpg,Head First PMP.pdf,Head First PMP.html,482
IOS 4 in Action,"Jocelyn Harrington, Brandon Trebitowski, Christopher Allen, Shannon Appelcline",Computing,"Computers, Programming,  Macintosh",IOS 4 in Action.jpg,IOS 4 in Action.pdf,IOS 4 in Action.html,483
Head First Servlets and JSP,"Bryan Basham, Kathy Sierra, Bert Bates",Computing,"Computers, Programming Languages, Java",Head First Servlets and JSP.jpg,Head First Servlets and JSP.pdf,Head First Servlets and JSP.html,484
Network Warrior,Gary Donahue,Computing,"Computers, Security, General",Network Warrior.jpg,Network Warrior.pdf,Network Warrior.html,485
Practical JIRA Administration,Matthew Doar,Computing,"Computers, Programming Languages, Java",Practical JIRA Administration.jpg,Practical JIRA Administration.pdf,Practical JIRA Administration.html,486
DNS and BIND on IPv6,Cricket Liu,Computing,"Computers, System Administration, General",DNS and BIND on IPv6.jpg,DNS and BIND on IPv6.pdf,DNS and BIND on IPv6.html,487
HBase The Definitive Guide,Lars George,Computing,"Computers, Web, Web Programming",HBase The Definitive Guide.jpg,HBase The Definitive Guide.pdf,HBase The Definitive Guide.html,488
Beginning WordPress 3,Stephanie Leary,Computing,"Computers, Web, Blogs",Beginning WordPress 3.jpg,Beginning WordPress 3.pdf,Beginning WordPress 3.html,489
